Company,ESG Risk Rating,Score
"Alignment Healthcare, Inc.",Medium ESG Risk,23.2
Alimak Group AB,Medium ESG Risk,23.2
"Alimentation Couche-Tard, Inc.",Medium ESG Risk,23.0
Alimtiaz Investment Group KSCC,Severe ESG Risk,40.8
Alinma Bank,Medium ESG Risk,27.7
Alior Bank SA,Medium ESG Risk,24.3
ALK-Abello A/S,Medium ESG Risk,29.8
"Alkami Technology, Inc.",Medium ESG Risk,26.1
Alkane Resources Ltd.,Severe ESG Risk,40.7
Alkem Laboratories Ltd.,High ESG Risk,35.9
Alkemy SpA,Low ESG Risk,16.9
Alkermes Plc,Medium ESG Risk,24.3
Alkhorayef Water & Power Technologies,Severe ESG Risk,46.4
Alkyl Amines Chemicals Ltd.,Medium ESG Risk,29.4
"Allakos, Inc.",High ESG Risk,32.8
"Allbirds, Inc.",Low ESG Risk,18.3
Allcargo Logistics Ltd.,Medium ESG Risk,24.1
Alleghany Corp.,Medium ESG Risk,27.3
Allegiant Travel Co.,High ESG Risk,33.6
Allegion Plc,Medium ESG Risk,21.8
"Allegro MicroSystems, Inc.",Medium ESG Risk,22.0
Allegro.eu SA,Medium ESG Risk,21.3
Alleima AB,High ESG Risk,33.7
"ALLETE, Inc.",High ESG Risk,33.7
Allfunds Group Plc,Low ESG Risk,19.3
Alliance Bank Malaysia Bhd.,Medium ESG Risk,25.0
"Alliance Global Group, Inc.",Severe ESG Risk,50.5
Alliance International Education Leasing Holdings Ltd.,High ESG Risk,34.3
Alliance Pharma Plc,Low ESG Risk,13.9
Alliance Resource Partners LP,Severe ESG Risk,54.6
Alliander NV,Low ESG Risk,12.9
Alliant Energy Corp.,Medium ESG Risk,21.3
Allianz Malaysia Bhd.,Medium ESG Risk,24.4
Allianz SE,Low ESG Risk,13.3
Allied Properties Real Estate Investment Trust,Low ESG Risk,13.9
Allied Supreme Corp.,Medium ESG Risk,29.7
Allied World Assurance Company Holdings Ltd.,Medium ESG Risk,29.0
"Allient, Inc.",Medium ESG Risk,23.4
Alligator Bioscience AB,Medium ESG Risk,28.5
Alligo AB,Low ESG Risk,19.1
"Allison Transmission Holdings, Inc.",Medium ESG Risk,30.0
Allkem Ltd.,High ESG Risk,38.1
"Allogene Therapeutics, Inc.",Medium ESG Risk,25.2
Allos SA,Low ESG Risk,18.5
"AlloVir, Inc.",High ESG Risk,31.3
Allreal Holding AG,Medium ESG Risk,22.2
"Allwinner Technology Co., Ltd.",Severe ESG Risk,41.5
Allwyn Entertainment Financing (UK) Plc,Medium ESG Risk,28.1
"Ally Financial, Inc.",Medium ESG Risk,23.0
Alm. Brand A/S,Medium ESG Risk,28.5
Alma Media Oyj,Low ESG Risk,11.8
Almacenes Éxito SA,Medium ESG Risk,20.5
Almarai Co. Ltd.,High ESG Risk,32.3
Almeera Consumer Goods Co. QSC,Medium ESG Risk,23.2
Almirall SA,Low ESG Risk,17.1
Almunajem Foods Co.,Medium ESG Risk,21.4
"Alnylam Pharmaceuticals, Inc.",Medium ESG Risk,28.4
Alok Industries Ltd.,Low ESG Risk,17.4
Alony Hetz Properties & Investments Ltd.,Medium ESG Risk,21.6
